


bus:<bus3>;car:<car1,car2>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16,car20>;person:<person12>;
bus:<bus3>;car:<car10,car16>;person:<person27>;
bus:<bus3>;car:<car10,car16>;person:<person27>;
bus:<bus3>;car:<car10,car16>;person:<person27>;
bus:<bus3>;car:<car10,car16,car29>;person:<person27,person30>;
bus:<bus3>;car:<car10,car16,car29>;person:<person27,person30>;
bus:<bus3>;car:<car10,car29>;person:<person27,person30>;
bus:<bus3>;car:<car10,car29>;person:<person27,person30>;
bus:<bus3>;car:<car10,car29>;person:<person27,person30>;
bus:<bus3>;car:<car10,car29,car31>;person:<person30>;
bus:<bus3>;car:<car10,car29,car31>;person:<person30,person32>;
bus:<bus3>;car:<car10,car31>;person:<person30,person32>;
bus:<bus3>;car:<car10,car31>;person:<person30,person32>;
bus:<bus3>;car:<car10,car31>;person:<person30,person32>;
bus:<bus3>;car:<car10,car31>;person:<person30,person32,person33>;
bus:<bus3>;car:<car10,car31>;person:<person30,person32,person33>;
bus:<bus3>;car:<car10,car31>;person:<person30,person32,person33>;
bus:<bus3>;car:<car10,car31>;person:<person30,person33>;
bus:<bus3>;car:<car10,car31>;person:<person30,person33>;
bus:<bus3>;car:<car10,car31>;person:<person30,person33>;
bus:<bus3>;car:<car10,car31>;person:<person30,person33>;
bus:<bus3>;car:<car10>;person:<person30>;
bus:<bus3>;car:<car10>;person:<person30>;
bus:<bus3>;car:<car10,car38>;person:<person30>;
bus:<bus3>;car:<car10,car38>;person:<person30>;
bus:<bus3>;car:<car10,car38>;person:<person30>;
bus:<bus3>;car:<car10,car38>;person:<person30>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person30,person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person40>;
bus:<bus3>;car:<car10,car38>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus3>;car:<car10,car38,car43,car46>;person:<person39,person40>;
car:<car10,car38,car43,car46>;person:<person39,person40>;
car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus49>;car:<car10,car38,car43,car46>;person:<person39,person40>;
bus:<bus49>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus49>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus49>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus49>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
bus:<bus49>;car:<car10,car38,car43,car46>;person:<person39,person40,person47>;
car:<car10,car38,car43,car46>;person:<person39,person47>;
car:<car10,car38,car43,car46>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car10,car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46>;person:<person39,person47>;
car:<car38,car43,car46>;person:<person47>;
car:<car38,car43,car46>;person:<person47>;
car:<car38,car43,car46,car53>;person:<person39,person47>;
car:<car38,car43,car46,car53>;person:<person39,person47>;
car:<car38,car43,car46,car53>;person:<person39,person47>;
car:<car38,car43,car46,car53>;person:<person39,person47>;
car:<car38,car43,car46,car53,car54>;person:<person39,person47>;
car:<car38,car43,car46,car53,car54>;person:<person39,person47>;
car:<car38,car43,car46,car53,car54>;person:<person47>;
car:<car38,car43,car46,car53,car54>;person:<person47>;
car:<car38,car43,car46,car53,car54>;person:<person47>;
car:<car38,car43,car46,car53,car54>;person:<person47>;
car:<car38,car43,car46,car53,car54>;person:<person39,person47>;
car:<car38,car43,car46,car53,car54>;person:<person39,person47>;
car:<car38,car43,car46,car50,car53>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car46,car50>;person:<person39,person47>;
car:<car38,car43,car50,car57>;person:<person39,person47>;
car:<car38,car43,car50,car57>;person:<person39,person47>;
car:<car38,car43,car50,car57>;person:<person39,person47>;
car:<car38,car43,car50,car57>;person:<person39,person47>;
car:<car38,car43,car50,car57>;person:<person47>;
car:<car38,car43,car50,car53,car57>;person:<person47>;
car:<car38,car43,car50,car53,car57>;person:<person47>;
car:<car38,car43,car50,car53,car57>;person:<person47>;
car:<car38,car43,car50,car53,car57>;person:<person47,person59>;
car:<car38,car43,car50,car53>;person:<person47,person59>;
car:<car38,car50,car53>;person:<person47,person59>;
car:<car38,car50,car53>;person:<person47,person59>;
car:<car38,car43,car50,car53>;person:<person47,person59>;
car:<car38,car43,car50,car53>;person:<person47,person59>;
car:<car38,car43,car50,car53>;person:<person47,person59>;
car:<car38,car43,car50,car53>;person:<person47,person59>;
car:<car38,car43,car53>;person:<person47>;
car:<car38,car43,car50>;person:<person47,person59>;
car:<car38,car43,car50>;person:<person47,person59>;
car:<car38,car43,car50>;person:<person47,person59>;
car:<car38,car43,car50>;person:<person47,person59>;
car:<car38,car43,car50>;person:<person47,person59>;
car:<car38,car43,car50>;person:<person47,person59>;
car:<car38,car50>;person:<person47,person59>;
car:<car38,car50>;person:<person47,person59>;
car:<car38,car50>;person:<person47,person59>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50,car57>;person:<person47>;
car:<car38,car50,car57>;person:<person47>;
car:<car38,car50,car57>;person:<person47>;
car:<car38,car50,car57>;person:<person47>;
car:<car38,car50,car57>;person:<person47>;
car:<car38,car50,car57>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car50>;person:<person47>;
car:<car38,car43,car50>;person:<person47>;
bus:<bus63>;car:<car38,car43,car50>;person:<person47>;
bus:<bus63>;car:<car38,car43,car50>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person67>;
bus:<bus63>;car:<car38,car43>;person:<person67>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person47,person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person68>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person68,person72>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person68,person72>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person72,person74>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person72,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person72,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person72,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person67,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person74,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63>;car:<car38,car43>;person:<person65,person75>;
bus:<bus63,bus79>;car:<car38>;person:<person65,person67,person75>;
bus:<bus63,bus79>;car:<car38>;person:<person65,person67,person75>;
bus:<bus63,bus79>;car:<car38,car80,car81>;person:<person65,person67,person75>;
bus:<bus63,bus79>;car:<car38,car80,car81>;person:<person65,person67,person75>;
bus:<bus63,bus79>;car:<car38,car80,car81>;person:<person65,person67,person75>;
bus:<bus63,bus79>;car:<car38,car80,car81>;person:<person67,person75>;
bus:<bus63>;car:<car38,car80,car81>;person:<person67,person75,person82>;
bus:<bus63>;car:<car38,car80,car81>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80,car81>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63,bus79>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63>;car:<car38,car80,car83>;person:<person65,person67,person75,person82>;
bus:<bus63>;car:<car38,car80,car83>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63>;car:<car38,car80>;person:<person65,person75,person82>;
bus:<bus63,bus92>;car:<car38,car80>;person:<person65,person75>;
bus:<bus63,bus92>;car:<car38,car80>;person:<person65,person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80>;person:<person65,person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80>;person:<person65,person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80>;person:<person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93,truck97>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93,truck97>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93,truck97>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck93,truck97,truck99>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck97,truck99>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck97,truck99>;
bus:<bus63,bus92>;car:<car38,car80,car95>;person:<person75>;truck:<truck97,truck99>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck97,truck99>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck97,truck99>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75,person82>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person102,person75>;
bus:<bus63,bus92>;car:<car101,car38,car80,car95>;person:<person75>;
bus:<bus63,bus92>;car:<car101,car105,car38,car80,car95>;person:<person75>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car38,car80,car95>;person:<person75>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car38,car80,car95>;person:<person75>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car38,car80,car95>;person:<person75,person82>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car38,car80,car95>;person:<person82>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car38,car80,car95>;person:<person82>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car110,car38,car80,car95>;person:<person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car101,car105,car106,car107,car110,car38,car80,car95>;person:<person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car107,car110,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car107,car110,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car107,car110,car113,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car107,car110,car113,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car110,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car110,car115,car38,car80>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car110,car115,car38,car80>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car110,car115,car38,car80>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car80,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car38,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car117,car38,car95>;person:<person102,person75,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car117,car38,car95>;person:<person102,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car113,car115,car117,car38,car95>;person:<person102,person82>;truck:<truck99>;
bus:<bus63,bus92>;car:<car106,car110,car115,car117,car38,car95>;person:<person102,person82>;
bus:<bus63,bus92>;car:<car106,car110,car115,car117,car38>;person:<person102,person82>;
bus:<bus63,bus92>;car:<car110,car115,car117,car118,car38>;person:<person102,person82>;
bus:<bus63,bus92>;car:<car110,car115,car117,car118,car38>;person:<person102,person82>;
bus:<bus63,bus92>;car:<car110,car115,car117,car118,car38>;person:<person102,person120,person82>;
bus:<bus63,bus92>;car:<car110,car115,car118,car38>;person:<person102,person120,person82>;
bus:<bus63,bus92>;car:<car110,car115,car118,car38>;person:<person102,person120,person82>;
bus:<bus63,bus92>;car:<car110,car115,car118,car38>;person:<person102,person120,person82>;
bus:<bus63,bus92>;car:<car110,car115,car118,car122,car38>;person:<person120,person82>;
bus:<bus63,bus92>;car:<car110,car115,car118,car122,car38>;person:<person120,person82>;
bus:<bus63,bus92>;car:<car106,car110,car115,car118,car122,car38>;person:<person120,person82>;
bus:<bus63,bus92>;car:<car106,car110,car115,car118,car122,car38>;person:<person120,person82>;
